Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2016-06-02 19:04:38.038 +0100,"Success",0:00:00,0,0,0,"20160602_190438.038/LogFile.txt","","",1
2016-06-02 19:05:35.035 +0100,"Success",0:00:00,0,0,0,"20160602_190535.035/LogFile.txt","","",1
