Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2016-06-02 16:04:57.057 +0100,"Success",0:00:00,0,0,0,"20160602_160457.057/LogFile.txt","","",1
2016-06-02 16:05:11.011 +0100,"Failure",0:00:03,1,0,0,"20160602_160511.011/LogFile.txt","","Image Not Found -- waitfor Error - Error Computing Rectangle: (subtaskTopleft ,subtaskbottomright,)",0
2016-06-02 16:05:43.043 +0100,"Success",0:00:04,0,0,0,"20160602_160543.043/LogFile.txt","","",1
