Script,Last Status,Runs,Fails,First Run,Last Run,Avg Time(Success)
List,Success,1,0,2016-06-03 09:02:26 +0100,2016-06-03 09:02:26 +0100,0:00:00
_Before open application,Failure,1,1,2016-06-02 14:12:25 +0100,2016-06-02 14:12:25 +0100,0:00:00
Todo,Success,2,0,2016-06-02 19:04:38 +0100,2016-06-02 19:05:35 +0100,0:00:00
Subtask,Success,1,0,2016-06-02 16:04:57 +0100,2016-06-02 16:04:57 +0100,0:00:00
Load_Data,Success,3,0,2016-06-02 15:07:51 +0100,2016-06-02 19:43:18 +0100,0:00:00
Load_Data_copy1,Success,1,0,2016-06-03 01:41:07 +0100,2016-06-03 01:41:07 +0100,0:00:00
