Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2016-06-02 15:07:51.051 +0100,"Success",0:00:00,0,0,0,"20160602_150751.051/LogFile.txt","","",1
2016-06-02 16:17:49.049 +0100,"Success",0:00:00,0,0,0,"20160602_161749.049/LogFile.txt","","",1
2016-06-02 19:43:18.018 +0100,"Success",0:00:00,0,0,0,"20160602_194318.018/LogFile.txt","","",1
